idArret;datecreation;datedebut;datefin;nombrejour;datereprise;agent_matricule;statut
3812;31/01/2020;31/01/2020;01/02/2020;2;03/02/2020;2848;Valider
3813;31/01/2020;29/01/2020;31/01/2020;3;01/02/2020;3523;Valider
3814;31/01/2020;30/01/2020;31/01/2020;2;03/02/2020;3721;Valider
3815;31/01/2020;29/01/2020;29/01/2020;1;30/01/2020;4903;Valider
3816;03/02/2020;03/02/2020;04/02/2020;2;05/02/2020;3794;Valider
3817;03/02/2020;03/02/2020;05/02/2020;3;06/02/2020;4531;Valider
3818;03/02/2020;03/02/2020;03/02/2020;1;04/02/2020;4813;Valider
3820;03/02/2020;03/02/2020;04/02/2020;2;05/02/2020;3477;Valider
3821;04/02/2020;04/02/2020;04/02/2020;1;05/02/2020;4629;Valider
3822;04/02/2020;04/02/2020;05/02/2020;2;06/02/2020;3993;Valider
3823;04/02/2020;04/02/2020;05/02/2020;2;06/02/2020;3108;Valider
3824;04/02/2020;04/02/2020;04/02/2020;1;05/02/2020;4310;Valider
3825;04/02/2020;04/02/2020;04/02/2020;1;05/02/2020;2796;Valider
3826;04/02/2020;03/02/2020;05/02/2020;3;06/02/2020;4780;Valider
3827;04/02/2020;30/01/2020;01/02/2020;3;03/02/2020;4104;Valider
3828;04/02/2020;04/02/2020;05/02/2020;2;06/02/2020;3909;Valider
3829;04/02/2020;04/02/2020;05/02/2020;2;06/02/2020;4742;Valider
3830;04/02/2020;03/02/2020;05/02/2020;3;06/02/2020;4237;Valider
3831;04/02/2020;04/02/2020;05/02/2020;2;06/02/2020;3647;Valider
3832;05/02/2020;04/02/2020;05/02/2020;2;06/02/2020;4726;Valider
3833;05/02/2020;05/02/2020;06/02/2020;2;07/02/2020;4806;Valider
3834;05/02/2020;05/02/2020;07/02/2020;3;08/02/2020;3756;Valider
3835;05/02/2020;03/02/2020;09/02/2020;7;10/02/2020;3949;Valider
3836;05/02/2020;04/02/2020;06/02/2020;3;07/02/2020;3850;Valider
3837;05/02/2020;05/02/2020;07/02/2020;3;10/02/2020;4629;Valider
3838;05/02/2020;05/02/2020;07/02/2020;3;10/02/2020;4414;Valider
3839;05/02/2020;27/01/2020;29/01/2020;3;30/01/2020;4365;Valider
3840;06/02/2020;06/02/2020;07/02/2020;2;10/02/2020;4901;Valider
3841;06/02/2020;30/01/2020;05/02/2020;7;06/02/2020;3153;Valider
